,words,emotions
1170,dreari,power
1171,drive,weakness
1172,drone,power
1173,droop,weakness
1174,drought,weakness
1175,drown,weakness
1176,drink,power
1177,drunkard,power
1178,drunken,power
1179,dubious,power
1180,dubit,power
1181,dud,weakness
1182,dudgeon,anger
1183,dull,weakness
1184,dullard,power
1185,dumb,power
1186,dumbfound,power
1187,dumfound,surprise
1188,dummi,power
1189,dump,weakness
1190,dun,anger
1191,dunc,power
1192,dungeon,power
1193,dupe,power
1194,durabl,weakness
1195,dusti,weakness
1196,dwindl,weakness
1197,die,weakness
1198,dynam,weakness
1199,dysphor,sadness
1200,dysphoria,sadness
1201,eager,power
1202,earnest,power
1203,earsplit,power
1204,eas,weakness
1205,easier,weakness
1206,easiest,weakness
1207,easili,weakness
1208,easi,weakness
1209,easygo,power
1210,ebulli,power
1211,eccentr,weakness
1212,eclect,power
1213,econom,weakness
1214,ecstasi,happiness
1215,ecstat,power
1216,edgi,power
1217,edifi,power
1218,educ,weakness
1219,effect,weakness
1220,effectu,weakness
1221,efficaci,weakness
1222,effici,weakness
1223,effigi,power
1224,effortless,power
1225,effronteri,power
1226,effus,power
1227,egalitarian,weakness
1228,ego,power
1229,egocentr,power
1230,egomania,power
1231,egot,power
1232,egotist,power
1233,egregi,power
1234,ejacul,power
1235,elan,power
1236,elat,happiness
1237,electionrigg,power
1238,electrif,power
1239,electrifi,weakness
1240,eleg,power
1241,elev,weakness
1242,elig,weakness
1243,elimin,weakness
1244,elit,weakness
1245,eloqu,power
1246,emaci,power
1247,emancip,weakness
1248,emascul,power
1249,embarrass,power
1250,embattl,weakness
1251,embellish,power
1252,embolden,weakness
1253,embrac,power
1254,embroil,power
1255,emin,power
1256,emot,happiness
1257,empath,power
1258,empathet,happiness
1259,empathi,power
1260,emphat,power
1261,empow,weakness
1262,empower,power
1263,empti,weakness
1264,enabl,weakness
1265,enamor,happiness
1266,enamour,happiness
1267,enchant,happiness
1268,encourag,power
1269,encroach,weakness
1270,endang,power
1271,endear,happiness
1272,endless,weakness
1273,endors,power
1274,endur,power
1275,enemi,weakness
1276,energet,weakness
1277,energ,weakness
1278,enerv,power
1279,enfeebl,weakness
1280,enflam,power
1281,enfuri,anger
1282,engag,power
1283,engross,power
1284,engulf,weakness
1285,enhanc,weakness
1286,enjoin,power
1287,enhappiness,happiness
1288,enlighten,weakness
1289,enliven,weakness
1290,enmiti,power
1291,ennobl,power
1292,enorm,power
1293,enrag,anger
1294,enrapt,power
1295,enraptur,power
1296,enrich,weakness
1297,enslav,power
1298,ensur,weakness
1299,entangl,weakness
1300,enterpris,weakness
1301,entertain,power
1302,enthral,happiness
1303,enthus,power
1304,enthusiasm,power
1305,enthusiast,power
1306,entic,power
1307,entranc,power
1308,entrap,power
1309,entreat,power
1310,entrust,weakness
1311,envi,power
1312,enviabl,power
1313,envious,power
1314,envis,weakness
1315,epic,power
1316,epidem,weakness
1317,epitom,power
1318,equal,weakness
1319,equit,weakness
1320,equivoc,power
1321,erad,weakness
1322,eras,weakness
1323,erod,weakness
1324,eros,weakness
1325,err,power
1326,errant,weakness
1327,errat,power
1328,erron,power
1329,error,weakness
1330,erudit,power
1331,escapad,weakness
1332,eschew,power
1333,esoter,weakness
1334,especi,power
1335,essenti,weakness
1336,establish,weakness
1337,esteem,power
1338,estrang,power
1339,etern,power
1340,ethic,power
1341,eulog,power
1342,euphor,happiness
1343,euphori,happiness
1344,euphoria,happiness
1345,evad,weakness
1346,evas,weakness
1347,even,weakness
1348,event,weakness
1349,everlast,power
1350,evid,power
1351,evil,power
1352,evildo,power
1353,eviscer,power
1354,evoc,power
1355,exacerb,power
1356,exact,weakness
1357,exagger,power
1358,exalt,power
1359,exasp,anger
1360,exasper,power
1361,exceed,power
1362,excel,power
1363,except,power
1364,excess,power
1365,excit,power
1366,excite,power
1367,exclaim,power
1368,exclud,weakness
1369,exclus,weakness
1370,excori,power
1371,excruci,power
1372,excus,weakness
1373,execr,anger
1374,exemplar,power
1375,exemplari,power
1376,exhaust,weakness
1377,exhilar,happiness
1378,exhort,power
1379,exil,weakness
1380,exoner,power
1381,exorbit,power
1382,exorbitant,power
1383,expan,happiness
1384,expans,happiness
1385,expect,happiness
1386,expedi,weakness
1387,expel,weakness
1388,expens,weakness
1389,experienc,weakness
1390,expert,power
1391,expir,power
1392,explicit,power
1393,explod,weakness
1394,exploit,power
1395,explos,weakness
1396,expos,weakness
1397,express,weakness
1398,expropri,weakness
1399,expuls,weakness
1400,expung,power
1401,exquisit,power
1402,extermin,power
1403,extinguish,weakness
1404,extol,power
1405,extort,power
1406,extran,weakness
1407,extraordinarili,power
1408,extraordinari,power
1409,extravag,power
1410,extrem,weakness
1411,extremist,weakness
1412,exub,happiness
1413,exuber,power
1414,exult,power
1415,fabric,power
1416,fabul,power
1417,faceti,power
